ticker,company,market_cap_usd,area,nct_id,title,status,start_date,primary_completion,enrollment,conditions,interventions,url
AVBP,"ArriVent BioPharma, Inc.",1431156815.415594,Oncology,NCT05607550,Study to Compare Furmonertinib to Platinum-Based Chemotherapy for Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) With Epidermal Growth Factor Receptor (EGFR) Exon 20 Insertion Mutations (FURVENT),ACTIVE_NOT_RECRUITING,2023-06-01,2025-08-15,398,Metastatic Non-Small Cell Lung Cancer; Advanced Non-Small Cell Lung Cancer; EGFR Exon 20 Mutations,"furmonertinib 240 mg oral, daily; furmonertinib 160 mg oral, daily; platinum-based chemotherapy",https://clinicaltrials.gov/study/NCT05607550
INBX,"Inhibrx Biosciences, Inc.",1437032313.4170532,Oncology,NCT06295731,INBRX-106 in Combination With Pembrolizumab in First-line PD-L1 CPS≥20 HNSCC,ACTIVE_NOT_RECRUITING,2024-05-14,2029-05,410,Head and Neck Squamous Cell Carcinoma (HNSCC),INBRX-106; Pembrolizumab,https://clinicaltrials.gov/study/NCT06295731
ORIC,"Oric Pharmaceuticals, Inc.",1465648591.4263153,Oncology,NCT07723248,A Study to Learn About the Investigational Drug Rinzimetostat (ORIC-944) in Patients With mCRPC Who Were Previously Treated With Abiraterone Acetate (Himalayas-1),RECRUITING,2026-07,2028-03,600,Metastatic Castration Resistant Prostate Cancer,Rinzimetostat; Darolutamide; Enzalutamide; Docetaxel,https://clinicaltrials.gov/study/NCT07723248
ORIC,"Oric Pharmaceuticals, Inc.",1465648591.4263153,Allergy,NCT07723248,A Study to Learn About the Investigational Drug Rinzimetostat (ORIC-944) in Patients With mCRPC Who Were Previously Treated With Abiraterone Acetate (Himalayas-1),RECRUITING,2026-07,2028-03,600,Metastatic Castration Resistant Prostate Cancer,Rinzimetostat; Darolutamide; Enzalutamide; Docetaxel,https://clinicaltrials.gov/study/NCT07723248
BCAX,Bicara Therapeutics Inc.,1627484790.896843,Oncology,NCT06788990,"FORTIFI-HN01: A Study of Ficerafusp Alfa (BCA101) or Placebo in Combination With Pembrolizumab in First-Line PD-L1-pos, R or M HNSCC",RECRUITING,2025-01-28,2028-04,650,Metastatic Head and Neck Squamous Cell Carcinoma; Recurrent Head and Neck Squamous Cell Carcinoma,Ficerafusp alfa; Pembrolizumab (KEYTRUDA®); Placebo,https://clinicaltrials.gov/study/NCT06788990
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,1630601099.43042,Oncology,NCT06640361,A Study of Olverembatinib in SDH-deficient GIST.,RECRUITING,2024-11-11,2027-03-31,40,GIST,Olverembatinib,https://clinicaltrials.gov/study/NCT06640361
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,1630601099.43042,Oncology,NCT06389292,A Pivotal Study of APG-2575 (Lisaftoclax) Combined With Azacitidine in the Treatment of Acute Myeloid Leukemia,RECRUITING,2024-06-11,2028-05-25,486,Acute Myeloid Leukemia,APG-2575(Lisaftoclax ); Placebo; Azacitidine Injection,https://clinicaltrials.gov/study/NCT06389292
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,1630601099.43042,Oncology,NCT06319456,A Study of Lisaftoclax (APG-2575) Combined With Acalabrutinib Versus Immunochemotherapy for Newly Diagnosed CLL/SLL.,RECRUITING,2024-04-07,2027-08,344,CLL/SLL,Lisaftoclax (APG-2575); Acalabrutinib; Fludarabine; Cyclophosphamide，CTX; Rituximab; Chlorambucil,https://clinicaltrials.gov/study/NCT06319456
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,1630601099.43042,Oncology,NCT06423911,Study of Olverembatinib (HQP1351) in Patients With CP-CML,RECRUITING,2024-02-05,2025-12,285,"Chronic Myeloid Leukemia; CML; CML, Chronic Phase",olverembatinib; Bosutinib,https://clinicaltrials.gov/study/NCT06423911
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,1630601099.43042,Oncology,NCT06104566,Global Trial in APG2575 for Patients With CLL/SLL,RECRUITING,2023-12-20,2026-12-31,400,CLL/SLL,lisaftoclax +BTK inhibitor; BTK inhibitor,https://clinicaltrials.gov/study/NCT06104566
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,1630601099.43042,Oncology,NCT06051409,A Study of Olverembatinib in Patients With Newly Diagnosed Ph+ ALL (POLARIS-1),RECRUITING,2023-08-31,2027-12-31,350,"Ph+ ALL; Leukemia, Lymphoblastic, Acute, Philadelphia-Positive",Olverembatinib; Investigator's choice of TKI,https://clinicaltrials.gov/study/NCT06051409
NTLA,"Intellia Therapeutics, Inc.",1745572215.3965836,Allergy,NCT06634420,HAELO: A Phase 3 Study to Evaluate NTLA-2002 in Participants With Hereditary Angioedema (HAE),ACTIVE_NOT_RECRUITING,2025-01-15,2026-02-10,80,Hereditary Angioedema,NTLA-2002; Normal Saline IV Administration,https://clinicaltrials.gov/study/NCT06634420
FTRE,Fortrea Holdings Inc.,1753168449.2111206,Oncology,NCT07219238,"Study to Evaluate the Diagnostic Performance of GEH300079 (68Ga) Injection PET/CT for Detection of PC in Patients With Colorectal, Gastric, Ovarian, or Pancreatic Cancers (PERISCOPE)",RECRUITING,2026-10,2029-06,175,Colorectal Cancer; Gastric Cancers; Ovarian Cancers; Pancreatic Ductal Adenocarcinoma,GEH300079 (68Ga) Injection Positron-Emission Tomography (PET)/Computed Tomography (CT),https://clinicaltrials.gov/study/NCT07219238
FTRE,Fortrea Holdings Inc.,1753168449.2111206,Allergy,NCT06706817,A Study to Investigate Changes in Symptoms in Adult Participants With Chronic Rhinosinusitis With Nasal Polyposis Initiating Treatment With Tezepelumab,ACTIVE_NOT_RECRUITING,2024-12-03,2027-01-13,181,Chronic Rhinosinusitis With Nasal Polyps,Tezepelumab,https://clinicaltrials.gov/study/NCT06706817
