ticker,company,market_cap_usd,area,nct_id,title,status,start_date,primary_completion,enrollment,conditions,interventions,url
CLDX,"Celldex Therapeutics, Inc.",3153745993.1373444,Allergy,NCT07256392,Long-term Efficacy and Safety Extension (LTE) Study of Barzolvolimab in Participants With Chronic Spontaneous Urticaria,ENROLLING_BY_INVITATION,2025-11-25,2028-09,1370,Chronic Spontaneous Urticaria,barzolvolimab; Standard of Care,https://clinicaltrials.gov/study/NCT07256392
CLDX,"Celldex Therapeutics, Inc.",3153745993.1373444,Allergy,NCT06455202,A Phase 3 Study of Barzolvolimab in Participants With Chronic Spontaneous Urticaria (CSU),ACTIVE_NOT_RECRUITING,2024-07-19,2026-10,976,Chronic Spontaneous Urticaria,barzolvolimab; Matching placebo,https://clinicaltrials.gov/study/NCT06455202
CLDX,"Celldex Therapeutics, Inc.",3153745993.1373444,Allergy,NCT06445023,A Phase 3 Study of Barzolvolimab in Participants With Chronic Spontaneous Urticaria,ACTIVE_NOT_RECRUITING,2024-07-11,2026-10,963,Chronic Spontaneous Urticaria,barzolvolimab; Matching placebo,https://clinicaltrials.gov/study/NCT06445023
IMNM,Immunome Inc.,3223672482.4906387,Oncology,NCT04871282,A Study of AL102 in Patients With Progressing Desmoid Tumors,ACTIVE_NOT_RECRUITING,2021-09-01,2025-12-03,198,Desmoid; Desmoid Tumor,AL102; Placebo,https://clinicaltrials.gov/study/NCT04871282
VCYT,"VERACYTE, INC.",3353097316.4100876,Oncology,NCT06332274,tislelizUMaB in canceR Patients With molEcuLar residuaL Disease,RECRUITING,2025-04-16,2029-04,717,Cancer; Lung Cancer; Colo-rectal Cancer; Pancreas Cancer; Soft Tissue Sarcoma,Tislelizumab; Blood sampling; Placebo,https://clinicaltrials.gov/study/NCT06332274
VCYT,"VERACYTE, INC.",3353097316.4100876,Oncology,NCT06282588,Treatment of High-Risk Prostate Cancer Guided by Novel Diagnostic Radio- and Molecular Tracers,RECRUITING,2023-12-13,2030-07-31,493,Prostate Cancer,Darolutamide; Darolutamide matched placebo; Radiotherapy; Zoladex 3.6Mg Implant; Zoladex LA; Decapeptyl sustained release 22.5 mg,https://clinicaltrials.gov/study/NCT06282588
PII,Polaris Inc.,3629306691.2576904,Oncology,NCT05317819,Study of ADI-PEG 20 Versus Placebo in Subjects With High Arginine Level and Unresectable Hepatocellular Carcinoma,RECRUITING,2022-03-14,2028-09,300,Hepatocellular Carcinoma; Advanced Hepatocellular Carcinoma,ADI-PEG20; Placebo,https://clinicaltrials.gov/study/NCT05317819
PII,Polaris Inc.,3629306691.2576904,Oncology,NCT03970447,A Trial to Evaluate Multiple Regimens in Newly Diagnosed and Recurrent Glioblastoma,RECRUITING,2019-07-30,2028-06,2250,Glioblastoma,Temozolomide; Lomustine; Regorafenib; Radiation; Paxalisib; VAL-083,https://clinicaltrials.gov/study/NCT03970447
IDYA,"IDEAYA Biosciences, Inc.",3691205313.481888,Oncology,NCT07015190,Neoadjuvant Darovasertib in Primary Uveal Melanoma,RECRUITING,2026-01-25,2030-10,520,Uveal Melanoma,Darovasertib; Primary Local Therapy,https://clinicaltrials.gov/study/NCT07015190
IDYA,"IDEAYA Biosciences, Inc.",3691205313.481888,Melanoma,NCT07015190,Neoadjuvant Darovasertib in Primary Uveal Melanoma,RECRUITING,2026-01-25,2030-10,520,Uveal Melanoma,Darovasertib; Primary Local Therapy,https://clinicaltrials.gov/study/NCT07015190
IDYA,"IDEAYA Biosciences, Inc.",3691205313.481888,Oncology,NCT05987332,IDE196 (Darovasertib) in Combination With Crizotinib as First-line Therapy in Metastatic Uveal Melanoma,ACTIVE_NOT_RECRUITING,2023-10-31,2027-01-15,420,Metastatic Uveal Melanoma,IDE196; Crizotinib; Pembrolizumab; Ipilimumab; Nivolumab; Dacarbazine,https://clinicaltrials.gov/study/NCT05987332
IDYA,"IDEAYA Biosciences, Inc.",3691205313.481888,Melanoma,NCT05987332,IDE196 (Darovasertib) in Combination With Crizotinib as First-line Therapy in Metastatic Uveal Melanoma,ACTIVE_NOT_RECRUITING,2023-10-31,2027-01-15,420,Metastatic Uveal Melanoma,IDE196; Crizotinib; Pembrolizumab; Ipilimumab; Nivolumab; Dacarbazine,https://clinicaltrials.gov/study/NCT05987332
RCUS,"Arcus Biosciences, Inc.",3717854601.549885,Oncology,NCT07011719,Study of Casdatifan and Cabozantinib Versus Placebo and Cabozantinib in Patients With Advanced Clear Cell Renal Cell Carcinoma,RECRUITING,2025-09-08,2028-04,720,Metastatic Clear Cell Renal Cell Carcinoma; Advanced Clear Cell Renal Cell Carcinoma,Casdatifan; Cabozantinib; Placebo,https://clinicaltrials.gov/study/NCT07011719
RCUS,"Arcus Biosciences, Inc.",3717854601.549885,Oncology,NCT06608927,Study of Quemliclustat and Chemotherapy Versus Placebo and Chemotherapy in Patients With Metastatic Pancreatic Ductal Adenocarcinoma,ACTIVE_NOT_RECRUITING,2024-12-13,2030-11-30,610,Metastatic Pancreatic Ductal Adenocarcinoma,Quemliclustat; Placebo; Nab-paclitaxel; Gemcitabine,https://clinicaltrials.gov/study/NCT06608927
RCUS,"Arcus Biosciences, Inc.",3717854601.549885,Oncology,NCT05568095,"A Clinical Trial of a New Combination Treatment, Domvanalimab and Zimberelimab, Plus Chemotherapy, for People With an Upper Gastrointestinal Tract Cancer That Cannot be Removed With Surgery That Has Spread to Other Parts of the Body",ACTIVE_NOT_RECRUITING,2022-11-21,2026-08,1040,Advanced Upper Gastrointestinal Tract Adenocarcinoma,Domvanalimab; Zimberelimab; Capecitabine; Fluorouracil; Leucovorin; Oxaliplatin,https://clinicaltrials.gov/study/NCT05568095
RCUS,"Arcus Biosciences, Inc.",3717854601.549885,Oncology,NCT05502237,Zimberelimab and Domvanalimab in Combination With Chemotherapy Versus Pembrolizumab With Chemotherapy in Patients With Untreated Metastatic Non-Small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,2022-10-12,2028-06,1021,Non-small Cell Lung Cancer,Zimberelimab; Domvanalimab; Pembrolizumab; Carboplatin; Cisplatin; Paclitaxel,https://clinicaltrials.gov/study/NCT05502237
RCUS,"Arcus Biosciences, Inc.",3717854601.549885,Oncology,NCT05211895,A Global Study to Assess the Effects of Durvalumab + Domvanalimab Following Concurrent Chemoradiation in Participants With Stage III Unresectable NSCLC,RECRUITING,2022-02-18,2028-07-12,860,Non-Small Cell Lung Cancer,Durvalumab; Domvanalimab; Placebo,https://clinicaltrials.gov/study/NCT05211895
IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",3866111103.0020447,Oncology,NCT05727904,Study to Investigate Lifileucel Regimen Plus Pembrolizumab Compared With Pembrolizumab Alone in Participants With Untreated Advanced Melanoma.,RECRUITING,2023-03-30,2028-03-01,670,Metastatic Melanoma; Unresectable Melanoma; Melanoma,Lifileucel plus Pembrolizumab; Pembrolizumab with Optional Crossover Period,https://clinicaltrials.gov/study/NCT05727904
IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",3866111103.0020447,Melanoma,NCT05727904,Study to Investigate Lifileucel Regimen Plus Pembrolizumab Compared With Pembrolizumab Alone in Participants With Untreated Advanced Melanoma.,RECRUITING,2023-03-30,2028-03-01,670,Metastatic Melanoma; Unresectable Melanoma; Melanoma,Lifileucel plus Pembrolizumab; Pembrolizumab with Optional Crossover Period,https://clinicaltrials.gov/study/NCT05727904
RLAY,"Relay Therapeutics, Inc.",4379545629.288437,Oncology,NCT06982521,Phase 3 Study of RLY-2608 + Fulvestrant vs Capivasertib + Fulvestrant as Treatment for Locally Advanced or Metastatic PIK3CA-mutant HR+/HER2- Breast Cancer,RECRUITING,2025-08-26,2028-04-30,540,PIK3CA Mutation; HER2- Negative Breast Cancer; Hormone Receptor Positive Tumor; Breast Cancer; Metastatic Breast Cancer; Advanced Breast Cancer,Zovegalisib; Capivasertib; Fulvestrant,https://clinicaltrials.gov/study/NCT06982521
CELC,Celcuity Inc.,4436411483.6185,Oncology,NCT06757634,"Phase 3 Study of Gedatolisib as First-Line Treatment for Patients With HR-Positive, HER2-Negative Advanced Breast Cancer (VIKTORIA-2)",RECRUITING,2025-07-24,2029-03-31,1180,Breast Cancer,Arm A: Gedatolisib + Palbociclib + Fulvestrant; Arm B: Ribociclib + Fulvestrant; Arm C: Gedatolisib + Palbociclib + Letrozole; Arm D: Ribociclib + Letrozole,https://clinicaltrials.gov/study/NCT06757634
CELC,Celcuity Inc.,4436411483.6185,Oncology,NCT05501886,Gedatolisib Plus Fulvestrant With or Without Palbociclib vs Standard-of-Care for the Treatment of Patients With Advanced or Metastatic HR+/HER2- Breast Cancer (VIKTORIA-1),ACTIVE_NOT_RECRUITING,2022-12-08,2026-06-30,701,Breast Cancer,Gedatolisib; Palbociclib; Fulvestrant; Alpelisib,https://clinicaltrials.gov/study/NCT05501886
GRFS,Grifols SA,5499090444.635828,Oncology,NCT05645107,"A Study to Evaluate Efficacy, Safety, and PK of XEMBIFY®+Standard Medical Treatment (SMT) Compared to Placebo+SMT to Prevent Infections in Participants With HGG and Recurrent or Severe Infections Associated With B-cell Chronic Lymphocytic Leukemia, Multiple Myeloma, and Non-Hodgkin Lymphoma",RECRUITING,2022-12-26,2029-08,386,Hypogammaglobulinemia; Bacterial Infections; B-cell Chronic Lymphocytic Leukemia; Multiple Myleoma; Non-Hodgkin Lymphoma,Xembify; Placebo,https://clinicaltrials.gov/study/NCT05645107
ERAS,"Erasca, Inc.",6099850077.193079,Oncology,NCT06346067,A Study to Assess Naporafenib (ERAS-254) Administered With Trametinib in Patients With NRAS-mutant Melanoma (SEACRAFT-2),ACTIVE_NOT_RECRUITING,2024-04-29,2028-04,78,Advanced or Metastatic NRAS-mutant Melanoma,Naporafenib; Dacarbazine; Temozolomide; Trametinib,https://clinicaltrials.gov/study/NCT06346067
ERAS,"Erasca, Inc.",6099850077.193079,Melanoma,NCT06346067,A Study to Assess Naporafenib (ERAS-254) Administered With Trametinib in Patients With NRAS-mutant Melanoma (SEACRAFT-2),ACTIVE_NOT_RECRUITING,2024-04-29,2028-04,78,Advanced or Metastatic NRAS-mutant Melanoma,Naporafenib; Dacarbazine; Temozolomide; Trametinib,https://clinicaltrials.gov/study/NCT06346067
DNTH,"Dianthus Therapeutics, Inc. /DE/",6130407743.450912,Oncology,NCT07647510,A Phase 3 Study to Evaluate Claseprubart in Adults With Generalized Myasthenia Gravis (EMERGE),RECRUITING,2026-07,2028-12,195,"Myasthenia Gravis, Generalized",Claseprubart; Placebo; Claseprubart; Placebo,https://clinicaltrials.gov/study/NCT07647510
COGT,"Cogent Biosciences, Inc.",6217400422.793732,Oncology,NCT05208047,(Peak) A Phase 3 Randomized Trial of CGT9486+Sunitinib vs. Sunitinib in Subjects With Gastrointestinal Stromal Tumors,RECRUITING,2022-04-14,2025-09-30,482,Advanced Gastrointestinal Stromal Tumors; Metastatic Cancer,CGT9486; CGT9486; Sunitinib; Sunitinib; Midazolam; CGT9486,https://clinicaltrials.gov/study/NCT05208047
CGON,"CG Oncology, Inc.",6952951231.407166,Oncology,NCT06111235,A Study of Adjuvant Cretostimogene Grenadenorepvec for Treatment of Intermediate Risk NMIBC Following TURBT,ACTIVE_NOT_RECRUITING,2023-12-14,2026-11,367,Non Muscle Invasive Bladder Cancer; Urologic Cancer; Bladder Cancer; Urothelial Carcinoma,Cretostimogene Grenadenorepvec; n-dodecyl-B-D-maltoside,https://clinicaltrials.gov/study/NCT06111235
CGON,"CG Oncology, Inc.",6952951231.407166,Oncology,NCT04452591,"Study of Cretostimogene Given in Patients With Non-Muscle Invasive Bladder Cancer ,Unresponsive to Bacillus-Calmette-Guerin",ACTIVE_NOT_RECRUITING,2020-10-27,2030-06-16,190,Non Muscle Invasive Bladder Cancer; High-grade Ta/ T1 Papillary Disease Bladder Cancer,Cretostimogene Grenadenorepvec; n-dodecyl-B-D-maltoside,https://clinicaltrials.gov/study/NCT04452591
IBRX,"ImmunityBio, Inc.",8258774177.567272,Oncology,NCT06745908,Clinical Trial of N-803 Plus Tislelizumab or Prior Failed Immune Checkpoint Inhibitor and Docetaxel Versus Docetaxel Monotherapy in Participants With Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Acquired Resistance to Immune Checkpoint In,RECRUITING,2025-10-01,2028-09,507,NSCLC Stage IV,N-803; Tislelizumab; Docetaxel; Prior failed checkpoint inhibitor,https://clinicaltrials.gov/study/NCT06745908
IBRX,"ImmunityBio, Inc.",8258774177.567272,Oncology,NCT03022825,QUILT-3.032: A Multicenter Clinical Trial of Intravesical Bacillus Calmette-Guerin (BCG) in Combination With ALT-803 (N-803) in Patients With BCG Unresponsive High Grade Non-Muscle Invasive Bladder Cancer,ACTIVE_NOT_RECRUITING,2017-06-02,2024-10-01,190,Bladder Cancer,N-803 and BCG; N-803,https://clinicaltrials.gov/study/NCT03022825
PRMB,Primo Brands Corp,8494818507.822981,Oncology,NCT07698457,Clinical Benefit of 18F-FET in Glioma.,NOT_YET_RECRUITING,2026-10-01,2027-11-30,36,Glioma; 18F-Fluoroethyl-l-tyrosine,18F-Fluoroethyl-l-tyrosine,https://clinicaltrials.gov/study/NCT07698457
CRNX,"Crinetics Pharmaceuticals, Inc.",8988916081.736565,Oncology,NCT07087054,Carcinoid Syndrome Efficacy Study Featuring an Oral Daily Paltusotine Regimen,RECRUITING,2025-11-19,2027-08,141,Carcinoid Syndrome; Carcinoid; Carcinoid Tumor; Carcinoid Tumor of Ileum; Carcinoid Tumor of Cecum; Carcinoid Tumor of Liver; Carcinoid Tumor of Pancreas; Carcinoid Syndrome Diarrhea; Carcinoid Intestine Tumor,Paltusotine; Placebo,https://clinicaltrials.gov/study/NCT07087054
IMVT,"Immunovant, Inc.",9096580304.384628,Oncology,NCT07039916,Study to Assess the Efficacy and Safety of IMVT-1402 in Participants With Mild to Severe Generalized Myasthenia Gravis,RECRUITING,2025-05-27,2027-12,231,Generalized Myasthenia Gravis,IMVT-1402; IMVT-1402; Placebo; IMVT-1402,https://clinicaltrials.gov/study/NCT07039916
IMVT,"Immunovant, Inc.",9096580304.384628,Oncology,NCT05403541,Phase 3 Study to Assess the Efficacy and Safety of Batoclimab as Induction and Maintenance Therapy in Adult Participants With Generalized Myasthenia Gravis,ACTIVE_NOT_RECRUITING,2022-06-27,2025-01-10,240,Generalized Myasthenia Gravis,Batoclimab 680 mg SC weekly; Batoclimab 340 mg SC weekly; Matching Placebo SC; Batoclimab 340 mg SC bi-weekly,https://clinicaltrials.gov/study/NCT05403541
COMP,"Compass, Inc.",9415161650.499868,Oncology,NCT05506943,"A Study of CTX-009 in Combination With Paclitaxel in Adult Patients With Unresectable Advanced, Metastatic or Recurrent Biliary Tract Cancers (COMPANION-002)",ACTIVE_NOT_RECRUITING,2023-01-09,2026-12-01,168,Biliary Tract Cancer; Cholangiocarcinoma; Gall Bladder Cancer; Ampullary Cancer,CTX-009; Paclitaxel,https://clinicaltrials.gov/study/NCT05506943
IONS,IONIS PHARMACEUTICALS INC,9868025217.864006,Allergy,NCT07298447,Donidalorsen Treatment in Children With Hereditary Angioedema,RECRUITING,2026-04-21,2029-06,20,Hereditary Angioedema (HAE),Donidalorsen,https://clinicaltrials.gov/study/NCT07298447
IONS,IONIS PHARMACEUTICALS INC,9868025217.864006,Allergy,NCT05392114,A Study to Assess the Long-Term Safety and Efficacy of Donidalorsen in the Prophylactic Treatment of Hereditary Angioedema (HAE),ACTIVE_NOT_RECRUITING,2022-07-13,2026-12,154,Hereditary Angioedema,Donidalorsen,https://clinicaltrials.gov/study/NCT05392114
IONS,IONIS PHARMACEUTICALS INC,9868025217.864006,Oncology,NCT04768972,"FUSION: A Study to Evaluate the Efficacy, Safety, Pharmacokinetics and Pharmacodynamics of ION363 in Amyotrophic Lateral Sclerosis Participants With Fused in Sarcoma Mutations (FUS-ALS)",ACTIVE_NOT_RECRUITING,2021-06-14,2026-06-17,89,Amyotrophic Lateral Sclerosis,ION363; Placebo,https://clinicaltrials.gov/study/NCT04768972
PTGX,"Protagonist Therapeutics, Inc",9879984337.245789,Oncology,NCT06033586,Study to Evaluate the Long-term Safety of Rusfertide (PTG-300) in Subjects With Polycythemia Vera,ACTIVE_NOT_RECRUITING,2024-01-22,2026-04-01,46,Polycythemia Vera,Open-label rusfertide,https://clinicaltrials.gov/study/NCT06033586
PTGX,"Protagonist Therapeutics, Inc",9879984337.245789,Oncology,NCT05210790,A Phase 3 Study of Rusfertide in Patients With Polycythemia Vera,ACTIVE_NOT_RECRUITING,2022-04-01,2025-02-21,293,Polycythemia Vera,Placebo; Rusfertide,https://clinicaltrials.gov/study/NCT05210790
SMMT,Summit Therapeutics Inc.,9908050117.703465,Oncology,NCT07264075,Study Comparing Ivonescimab Alone or Ivonescimab in Combination With Ligufalimab Versus Pembrolizumab for the Treatment of SCCHN,RECRUITING,2026-05-05,2030-05,780,Squamous Cell Carcinoma Head and Neck Cancer (HNSCC),Ivonescimab 10 mg/kg; Ligufalimab; Pembrolizumab (KEYTRUDA ®),https://clinicaltrials.gov/study/NCT07264075
SMMT,Summit Therapeutics Inc.,9908050117.703465,Oncology,NCT07228832,Phase III Study of Ivonescimab or Bevacizumab Combined With FOLFOX in Patients With Metastatic Colorectal Cancer,RECRUITING,2025-11-18,2028-05-31,600,Metastatic Colorectal Cancer (CRC),Drug: Ivonescimab Injection; Drug: Bevacizumab Injection,https://clinicaltrials.gov/study/NCT07228832
SMMT,Summit Therapeutics Inc.,9908050117.703465,Oncology,NCT06767514,Clinical Study of Ivonescimab for First-line Treatment of Metastatic NSCLC Patients With High PD-L1,RECRUITING,2025-02-27,2028-04,780,Non-Small Cell Lung Cancer,Ivonescimab Injection; Pembrolizumab Injection,https://clinicaltrials.gov/study/NCT06767514
SMMT,Summit Therapeutics Inc.,9908050117.703465,Oncology,NCT05899608,Clinical Study of Ivonescimab for First-line Treatment of Metastatic NSCLC Patients,RECRUITING,2023-10-26,2028-12-31,1600,Non-Small Cell Lung Cancer,Ivonescimab Injection; Pembrolizumab Injection,https://clinicaltrials.gov/study/NCT05899608
SMMT,Summit Therapeutics Inc.,9908050117.703465,Oncology,NCT06396065,Phase III Study of AK112 for NSCLC Patients,ACTIVE_NOT_RECRUITING,2023-05-04,2025-04-12,420,Non-Squamous Non-small Cell Lung Cancer,AK112 Injection; Placebo Injection,https://clinicaltrials.gov/study/NCT06396065
AXSM,"Axsome Therapeutics, Inc.",11053923958.598572,Allergy,NCT07637162,Open-Label Safety Study of AXS-14 in Subjects With Fibromyalgia,ENROLLING_BY_INVITATION,2026-04-29,2028-05,300,Fibromyalgia,AXS-14 (esreboxetine),https://clinicaltrials.gov/study/NCT07637162
AXSM,"Axsome Therapeutics, Inc.",11053923958.598572,Allergy,NCT07398417,Fibromyalgia Response With Esreboxetine Evaluated Using a Randomized Withdrawal Research Design,RECRUITING,2026-01-14,2028-03,620,Fibromyalgia,AXS-14 (Esreboxetine); Placebo,https://clinicaltrials.gov/study/NCT07398417
HALO,"HALOZYME THERAPEUTICS, INC.",12071647349.273682,Oncology,NCT05625399,A Study of Subcutaneous Nivolumab + Relatlimab Fixed-dose Combination (FDC) in Previously Untreated Metastatic or Unresectable Melanoma,ACTIVE_NOT_RECRUITING,2023-03-06,2025-08-04,579,Melanoma,Nivolumab + Relatlimab; rHuPH20,https://clinicaltrials.gov/study/NCT05625399
HALO,"HALOZYME THERAPEUTICS, INC.",12071647349.273682,Melanoma,NCT05625399,A Study of Subcutaneous Nivolumab + Relatlimab Fixed-dose Combination (FDC) in Previously Untreated Metastatic or Unresectable Melanoma,ACTIVE_NOT_RECRUITING,2023-03-06,2025-08-04,579,Melanoma,Nivolumab + Relatlimab; rHuPH20,https://clinicaltrials.gov/study/NCT05625399
NVMI,NOVA LTD.,12300078620.74588,Oncology,NCT04307576,A Treatment Study Protocol for Participants 0-45 Years With Acute Lymphoblastic Leukaemia,RECRUITING,2020-07-13,2033-06,6430,"Leukemia, Acute Lymphoblastic",Omitted Doxorubicin; Omitted Vincristine+Dexamethasone pulses; Inotuzumab Ozogamicin+Standard Maintenance Therapy; Imatinib; 6-tioguanine+Standard Maintenance Therapy; Blinatumomab,https://clinicaltrials.gov/study/NCT04307576
CORT,CORCEPT THERAPEUTICS INC,13008560699.111847,Oncology,NCT05257408,"Relacorilant in Combination With Nab-Paclitaxel in Advanced, Platinum-Resistant, High-Grade Epithelial Ovarian, Primary Peritoneal, or Fallopian-Tube Cancer",ACTIVE_NOT_RECRUITING,2022-06-29,2025-03-24,381,Ovarian Neoplasm; Fallopian Tube Neoplasms; Peritoneal Neoplasms,Nab-paclitaxel 80 mg/m^2; Relacorilant 150 mg once daily (QD); Nab-paclitaxel 100 mg/m^2,https://clinicaltrials.gov/study/NCT05257408
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT07750158,Zanzalintinib Alone or in Combination With Pembrolizumab and Berahyaluronidase Alfa in Participants With Colorectal Cancer With Molecular Residual Disease,NOT_YET_RECRUITING,2026-08-06,2030-04-05,600,Colorectal Cancer,Zanzalintinib; MK-34574; Placebo,https://clinicaltrials.gov/study/NCT07750158
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT07620574,Long-Term Extension Study for Participants Previously Enrolled in an Exelixis-Sponsored Study,ENROLLING_BY_INVITATION,2026-07-30,2030-05-31,5000,Cancer; Renal Cell Carcinoma (RCC); Pancreatic Neuroendocrine Tumors (pNET); Extra-Pancreatic NET (epNET); Hepatocellular Carcinoma (HCC); Differentiated Thyroid Cancer (DTC); Non-Clear Cell Renal Cell Carcinoma (nccRCC); Colorectal Cancer; Prostate Cancer,Cabozantinib; Zanzalintinib; Atezolizumab; Nivolumab; Abiraterone; Prednisone,https://clinicaltrials.gov/study/NCT07620574
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT07489495,A Clinical Study of Belzutifan (MK-6482) and Zanzalintinib in People With Renal Cell Carcinoma (RCC) (LITESPARK-034/LS-034/MK-6482-034),RECRUITING,2026-04-09,2030-11-27,758,"Carcinoma, Renal Cell",Belzutifan; Zanzalintinib; Placebo,https://clinicaltrials.gov/study/NCT07489495
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT07227402,A Clinical Study of Belzutifan and Zanzalintinib in People With Recurrent Kidney Cancer Following Adjuvant Therapy (MK-6482-033),RECRUITING,2025-11-26,2032-02-27,904,Renal Cell Carcinoma,Belzutifan; Zanzalintinib; Cabozantinib,https://clinicaltrials.gov/study/NCT07227402
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT06943755,Zanzalintinib Versus Everolimus in Participants With Locally Advanced or Metastatic Neuroendocrine Tumors,RECRUITING,2025-07-21,2029-06-30,440,Pancreatic Neuroendocrine Tumor (pNET); Extra-Pancreatic Neuroendocrine Tumor (epNET),Zanzalintinib; Everolimus,https://clinicaltrials.gov/study/NCT06943755
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT06082167,Study of Zanzalintinib (XL092) + Pembrolizumab vs Pembrolizumab in Subjects With PD-L1 Positive Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,ACTIVE_NOT_RECRUITING,2024-06-07,2028-08,600,Head and Neck Squamous Cell Carcinoma,Zanzalintinib; Zanzalintinib-matched Placebo; Pembrolizumab,https://clinicaltrials.gov/study/NCT06082167
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT05678673,Study of XL092 + Nivolumab vs Sunitinib in Subjects With Advanced or Metastatic Non-Clear Cell Renal Cell Carcinoma,ACTIVE_NOT_RECRUITING,2023-01-01,2026-12-15,317,Non-Clear Cell Renal Cell Carcinoma,XL092; Nivolumab; Sunitinib Malate,https://clinicaltrials.gov/study/NCT05678673
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT05425940,Study of XL092 + Atezolizumab vs Regorafenib in Participants With Metastatic Colorectal Cancer,ACTIVE_NOT_RECRUITING,2022-09-07,2026-06-16,901,Colorectal Cancer,XL092; Atezolizumab; Regorafenib,https://clinicaltrials.gov/study/NCT05425940
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT04446117,Study of Cabozantinib in Combination With Atezolizumab Versus Second NHT in Subjects With mCRPC,ACTIVE_NOT_RECRUITING,2020-10-19,2024-04-19,575,Metastatic Prostate Cancer; Prostate Adenocarcinoma,Cabozantinib; Atezolizumab; Abiraterone Acetate; Enzalutamide; Prednisone,https://clinicaltrials.gov/study/NCT04446117
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT03937219,Study of Cabozantinib in Combination With Nivolumab and Ipilimumab in Patients With Previously Untreated Advanced or Metastatic Renal Cell Carcinoma,ACTIVE_NOT_RECRUITING,2019-06-25,2022-01-31,855,Renal Cell Carcinoma,Cabozantinib; Nivolumab; Ipilimumab; Cabozantinib-matched placebo,https://clinicaltrials.gov/study/NCT03937219
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT03690388,A Study of Cabozantinib Compared With Placebo in Subjects With Radioiodine-refractory Differentiated Thyroid Cancer Who Have Progressed After Prior Vascular Endothelial Growth Factor Receptor (VEGFR) -Targeted Therapy,ACTIVE_NOT_RECRUITING,2018-10-05,2020-08-19,187,Differentiated Thyroid Cancer,Cabozantinib; Placebo,https://clinicaltrials.gov/study/NCT03690388
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT03755791,Study of Cabozantinib in Combination With Atezolizumab Versus Sorafenib in Participants With Advanced Hepatocellular Carcinoma (HCC) Who Have Not Received Previous Systemic Anticancer Therapy,ACTIVE_NOT_RECRUITING,2018-06-10,2021-11-30,837,Hepatocellular Carcinoma,Cabozantinib; Cabozantinib; Sorafenib; Atezolizumab,https://clinicaltrials.gov/study/NCT03755791
EXEL,"EXELIXIS, INC.",13419856400.911514,Oncology,NCT03141177,A Study of Nivolumab Combined With Cabozantinib Compared to Sunitinib in Previously Untreated Advanced or Metastatic Renal Cell Carcinoma,ACTIVE_NOT_RECRUITING,2017-07-23,2020-02-12,701,Renal Cell Carcinoma,Nivolumab; Cabozantinib; Sunitinib; Ipilimumab,https://clinicaltrials.gov/study/NCT03141177
ICLR,ICON PLC,13656449216.653854,Oncology,NCT07647328,"A Phase IIIb Study to Evaluate Camizestrant Plus Ribociclib in ER-positive, HER2-negative Advanced Breast Cancer",RECRUITING,2026-06-15,2029-02-28,150,ER-Positive HER2-Negative Breast Cancer,Camizestrant; Ribociclib,https://clinicaltrials.gov/study/NCT07647328
ICLR,ICON PLC,13656449216.653854,Oncology,NCT04620239,ENdoluminal LIGHT ActivatED Treatment of Upper Tract Urothelial Cancer (ENLIGHTED) Study,ACTIVE_NOT_RECRUITING,2021-03-22,2026-07-01,89,Transitional Cell Cancer of Renal Pelvis and Ureter,padeliporfin VTP,https://clinicaltrials.gov/study/NCT04620239
JAZZ,Jazz Pharmaceuticals,16206573531.544281,Oncology,NCT06435429,"A Study Comparing the Efficacy and Safety of Zanidatamab to Trastuzumab, Each in Combination With Physician's Choice Chemotherapy, for the Treatment of Participants With Metastatic HER2-positive Breast Cancer",RECRUITING,2024-08-13,2028-04-28,550,Metastatic HER2-positive Breast Cancer,Zanidatamab; Trastuzumab; Eribulin; Vinorelbine; Gemcitabine; Capecitabine,https://clinicaltrials.gov/study/NCT06435429
JAZZ,Jazz Pharmaceuticals,16206573531.544281,Oncology,NCT06282575,Efficacy and Safety of Zanidatamab With Standard-of-care Therapy Against Standard-of-care Therapy for Advanced HER2-positive Biliary Tract Cancer,RECRUITING,2024-07-19,2028-12-01,286,Biliary Tract Cancer,Zanidatamab; Cisplatin; Gemcitabine; Pembrolizumab; Durvalumab,https://clinicaltrials.gov/study/NCT06282575
